feature,importance_mean,importance_std
meteo_temp_max,0.016575628497452605,0.006547809548810783
jour_semaine_Tuesday,0.010528689551490864,0.011758848143424872
k_moyen,0.010346195606781933,0.01394125455070068
q_moyen,0.005109830451850014,0.010991068742221936
semaine_annee,0.0027021214399064464,0.00426898037908192
meteo_temp_min,0.0023220997243798614,0.012685909431848733
is_ferie,0.0008734235362899912,0.0008983101080638494
jour_semaine_Thursday,0.0008734235362899912,0.004877181591262345
trafic_eleve,0.0004927754113422001,0.0006421896648784443
jour,0.0004140566274116658,0.008732594511764235
is_weekend,0.00022133132882319883,0.0003314226160498649
saison_hiver,0.00011692975862356847,0.0032416306588287937
jour_semaine_Wednesday,6.305854840058523e-05,0.0007354305084614653
saison_printemps,0.0,0.0
mois,0.0,0.0
is_pluie,0.0,0.0
saison_ete,0.0,0.0
annee,0.0,0.0
trimestre,0.0,0.0
jour_semaine_Monday,-0.00018520838553411355,0.0026589875287971717
population,-0.001522592499791192,0.01746235213653474
jour_semaine_Sunday,-0.001765221748935103,0.0013185379186392652
jour_semaine_Saturday,-0.0018936356802806364,0.0014301539549845545
ratio_saturation,-0.002375970934602853,0.012664503016760604
meteo_temp_moy,-0.005797210390044272,0.009628950659329198
jour_semaine_num,-0.006157813413513752,0.010143532298755132
meteo_precipitations,-0.006949803725048031,0.0071513062635169475
