,moyenne_FN_grave_rate,moyenne_TP_grave_detecte,ecart
population,127017.16417910448,108955.27272727272,18061.89145183176
q_moyen,616.6218129997252,274.60454176505306,342.01727123467214
meteo_precipitations,2.3641791044776115,0.018181818181818184,2.3459972862957934
meteo_temp_max,12.108955223880594,10.754545454545452,1.3544097693351418
meteo_temp_moy,9.186567164179106,8.08181818181818,1.1047489823609258
meteo_temp_min,7.129850746268658,6.163636363636363,0.9662143826322946
jour_semaine_num,2.7761194029850746,3.090909090909091,-0.3147896879240162
is_pluie,0.26865671641791045,0.0,0.26865671641791045
jour,16.62686567164179,16.363636363636363,0.2632293080054282
is_weekend,0.23880597014925373,0.36363636363636365,-0.12483039348710992
jour_semaine_Sunday,0.07462686567164178,0.18181818181818182,-0.10719131614654004
saison_hiver,0.3582089552238806,0.2727272727272727,0.08548168249660787
jour_semaine_Thursday,0.1044776119402985,0.18181818181818182,-0.07734056987788332
jour_semaine_Monday,0.16417910447761194,0.09090909090909091,0.07327001356852103
jour_semaine_Wednesday,0.11940298507462686,0.18181818181818182,-0.06241519674355496
semaine_annee,47.149253731343286,47.09090909090909,0.05834464043419274
k_moyen,5.5294776706003175,5.581715508678506,-0.052237838078188936
is_ferie,0.04477611940298507,0.0,0.04477611940298507
trafic_eleve,0.29850746268656714,0.2727272727272727,0.02578018995929443
jour_semaine_Saturday,0.16417910447761194,0.18181818181818182,-0.01763907734056988
ratio_saturation,0.015436627672132407,0.026113022848515192,-0.010676395176382785
mois,11.17910447761194,11.181818181818182,-0.0027137042062417294
jour_semaine_Tuesday,0.1791044776119403,0.18181818181818182,-0.002713704206241535
saison_ete,0.0,0.0,0.0
annee,2024.0,2024.0,0.0
trimestre,4.0,4.0,0.0
saison_printemps,0.0,0.0,0.0
