feature,importance
q_moyen,0.16652798307414513
ratio_saturation,0.14895023279446593
k_moyen,0.13686407886281982
population,0.10018048531148484
meteo_temp_min,0.09753048818483362
meteo_temp_max,0.06848476133195974
jour,0.06408764483782865
meteo_temp_moy,0.05192838947547818
meteo_precipitations,0.044203221546999474
semaine_annee,0.031091278310136472
jour_semaine_num,0.028999829549058217
jour_semaine_Tuesday,0.010253431638397696
jour_semaine_Thursday,0.008099244562533536
saison_printemps,0.007127965594800691
mois,0.006057188297235135
jour_semaine_Wednesday,0.0057627125472312045
jour_semaine_Monday,0.005372632120805215
is_ferie,0.004872457839853472
is_pluie,0.0027351437720538126
saison_ete,0.0023258819074961847
trimestre,0.0022062038106447114
trafic_eleve,0.0017004024593194043
saison_hiver,0.0014274120861107636
jour_semaine_Sunday,0.0013768048854508194
jour_semaine_Saturday,0.0009732496555159388
is_weekend,0.000860875543341223
annee,0.0
