,jour_semaine,is_weekend,annee,mois
jour_semaine,1.0,0.9997261399373537,,0.0600771829259877
is_weekend,0.9997261399373537,1.0,,0.03912875316987685
annee,,,1.0,
mois,0.0600771829259877,0.03912875316987685,,1.0
